MatchID,Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,HadStatError,HomeWin,AwayWin,Draw,Result,HomePoints,AwayPoints,ShotsDiff,ShotsOnTargetDiff,CornersDiff,FoulsDiff,YellowCardsDiff,RedCardsDiff,GoalDiff,HalfTimeGoalDiff,TotalGoals,HomeShotAccuracy,HomeConversion,AwayShotAccuracy,AwayConversion,ShotAccuracyDiff
20,2000/01,2000-08-26,Arsenal,Charlton,5,3,H,1,2,A,18.0,7.0,9.0,4.0,8,3,12,15,0,1,0,0,False,1,0,0,HomeWin,3,0,11.0,5.0,5,-3,-1,0,2,-1,8,0.5,0.5555555555555556,0.5714285714285714,0.75,-0.0714285714285714
21,2000/01,2000-08-26,Bradford,Leicester,0,0,D,0,0,D,8.0,13.0,4.0,8.0,6,8,11,12,1,2,0,0,False,0,0,1,Draw,1,1,-5.0,-4.0,-2,-1,-1,0,0,0,0,0.5,0.0,0.6153846153846154,0.0,-0.11538461538461542
22,2000/01,2000-08-26,Everton,Derby,2,2,D,2,0,H,12.0,7.0,9.0,4.0,11,2,11,9,2,3,0,0,False,0,0,1,Draw,1,1,5.0,5.0,9,2,-1,0,0,2,4,0.75,0.2222222222222222,0.5714285714285714,0.5,0.1785714285714286
23,2000/01,2000-08-26,Ipswich,Sunderland,1,0,H,0,0,D,14.0,9.0,5.0,3.0,7,6,10,12,1,1,0,0,False,1,0,0,HomeWin,3,0,5.0,2.0,1,-2,0,0,1,0,1,0.35714285714285715,0.2,0.3333333333333333,0.0,0.023809523809523836
24,2000/01,2000-08-26,Man City,Coventry,1,2,A,0,2,A,14.0,9.0,5.0,8.0,5,5,7,12,2,3,0,0,False,0,1,0,AwayWin,0,3,5.0,-3.0,0,-5,-1,0,-1,-2,3,0.35714285714285715,0.2,0.8888888888888888,0.25,-0.5317460317460316
25,2000/01,2000-08-26,Middlesbrough,Leeds,1,2,A,0,2,A,15.0,16.0,8.0,11.0,4,8,12,20,2,0,0,0,False,0,1,0,AwayWin,0,3,-1.0,-3.0,-4,-8,2,0,-1,-2,3,0.5333333333333333,0.125,0.6875,0.18181818181818182,-0.15416666666666667
26,2000/01,2000-08-26,Newcastle,Tottenham,2,0,H,1,0,H,15.0,10.0,6.0,2.0,4,2,13,10,0,0,0,0,False,1,0,0,HomeWin,3,0,5.0,4.0,2,3,0,0,2,1,2,0.4,0.3333333333333333,0.2,0.0,0.2
27,2000/01,2000-08-26,Southampton,Liverpool,3,3,D,0,1,A,14.0,9.0,7.0,4.0,7,1,7,6,0,0,0,0,False,0,0,1,Draw,1,1,5.0,3.0,6,1,0,0,0,-1,6,0.5,0.42857142857142855,0.4444444444444444,0.75,0.05555555555555558
28,2000/01,2000-08-26,West Ham,Man United,2,2,D,0,1,A,17.0,8.0,8.0,5.0,7,5,12,9,1,0,0,0,False,0,0,1,Draw,1,1,9.0,3.0,2,3,1,0,0,-1,4,0.47058823529411764,0.25,0.625,0.4,-0.15441176470588236
29,2000/01,2000-08-27,Aston Villa,Chelsea,1,1,D,1,1,D,12.0,11.0,9.0,7.0,7,10,13,12,0,1,0,0,False,0,0,1,Draw,1,1,1.0,2.0,-3,1,-1,0,0,0,2,0.75,0.1111111111111111,0.6363636363636364,0.14285714285714285,0.11363636363636365
30,2000/01,2000-09-05,Leeds,Man City,1,2,A,0,2,A,6.0,8.0,1.0,3.0,9,4,18,24,2,2,0,0,False,0,1,0,AwayWin,0,3,-2.0,-2.0,5,-6,0,0,-1,-2,3,0.16666666666666666,1.0,0.375,0.6666666666666666,-0.20833333333333334
