Target,Framing,Model,CVLogLoss,CVBrier,CVAUC,CVAccuracy,TrainLogLoss,TrainBrier,TrainAUC,TrainAccuracy,HoldoutLogLoss,HoldoutBrier,HoldoutAUC,HoldoutAccuracy
binary,diff,Baseline,0.6897054483747933,0.24828090107751438,0.5,0.5423703703703704,0.6897444187058056,0.24830054974829993,0.5,0.5412243890397432,0.688594545366342,0.2477269182169612,0.5,0.5481818181818182
binary,diff,LogisticRegression,0.6316023931455674,0.21940505746362504,0.7009887287353995,0.6503703703703704,0.6295250107295167,0.2196167999586904,0.6962970529868469,0.6478647247593187,0.6194540105343143,0.21524981571941187,0.7112759475593194,0.6618181818181819
binary,diff,DecisionTree,16.318430334391408,0.4527407407407408,0.5462052731634895,0.5472592592592591,2.220446049250313e-16,0.0,1.0,1.0,15.6953727030792,0.4354545454545454,0.5605523689400083,0.5645454545454546
binary,diff,RandomForest,0.6355985610718392,0.22216753243794668,0.6885849907507309,0.6420740740740741,0.4053566473081247,0.11836617393276413,0.9744946406369207,0.9061960009874105,0.622572573710275,0.21669090280106612,0.7028072247748514,0.6509090909090909
binary,diff,HistGradientBoosting,0.6811177110467992,0.2373709754099421,0.6679787741988641,0.6272592592592592,0.47554698730143213,0.15211784018882374,0.89348836082114,0.7977042705504813,0.6310516645738777,0.21992484129887874,0.6962237771571385,0.6454545454545455
binary,levels,Baseline,0.6897054483747933,0.24828090107751438,0.5,0.5423703703703704,0.6897444187058056,0.24830054974829993,0.5,0.5412243890397432,0.688594545366342,0.2477269182169612,0.5,0.5481818181818182
binary,levels,LogisticRegression,0.6350950257182175,0.22081953391336878,0.6984819425911322,0.6462222222222221,0.6284825746125761,0.2192141194366374,0.6974667534202157,0.6500863984201432,0.6201665240718103,0.21559098884178768,0.710128098608233,0.6536363636363637
binary,levels,DecisionTree,16.793672579077544,0.46592592592592597,0.5338915651348867,0.534074074074074,2.220446049250313e-16,0.0,1.0,1.0,16.317944897982127,0.4527272727272727,0.5424987737369491,0.5472727272727272
binary,levels,RandomForest,0.6328790799840718,0.22122018875037033,0.6914781906625025,0.6435555555555557,0.38766072470398655,0.10946917572494046,0.9902625583278039,0.9458158479387806,0.6286505421551257,0.21967245795349766,0.6921629278156501,0.6381818181818182
binary,levels,HistGradientBoosting,0.6868197572671083,0.23926236647750723,0.6744717056112044,0.6234074074074074,0.44823278367301717,0.13959734559051185,0.9233440364144033,0.8330041964946927,0.6580002464090952,0.2320455478016252,0.661901758811576,0.6063636363636363
multiclass,diff,Baseline,1.0638598384131868,0.6426454946724565,0.5,0.4576296296296296,1.0629321505880474,0.6420032697157162,0.5,0.4587756109602567,1.0633465799478694,0.6428487309126362,0.5,0.45181818181818184
multiclass,diff,LogisticRegression,0.9961173342956602,0.5903075376518923,0.6538463138598598,0.5266666666666666,0.9881645540520267,0.5885772924067314,0.6551860438174786,0.5220933102937546,0.9845941452357724,0.5851574206501046,0.650280287390565,0.5372727272727272
multiclass,diff,DecisionTree,21.546095025938918,1.1955555555555555,0.5348155410257102,0.4022222222222222,2.220446049250313e-16,0.0,1.0,1.0,21.46235724533794,1.190909090909091,0.5383793533588164,0.40454545454545454
multiclass,diff,RandomForest,0.9979965579019823,0.5946745148685416,0.644863336599861,0.5205925925925925,0.6380761594001539,0.34991496314646253,0.9747323592357041,0.8544803752159961,0.9887772439597021,0.5884232191740717,0.6506620791576694,0.5272727272727272
multiclass,diff,HistGradientBoosting,1.1571740085574587,0.662340706547928,0.6257030843792097,0.49362962962962964,0.5832740613701978,0.31790685571824506,0.9699143973965091,0.8484324858059739,1.030423646340031,0.6103539419854236,0.644563047185775,0.5181818181818182
multiclass,levels,Baseline,1.0638598384131868,0.6426454946724565,0.5,0.4576296296296296,1.0629321505880474,0.6420032697157162,0.5,0.4587756109602567,1.0633465799478694,0.6428487309126362,0.5,0.45181818181818184
multiclass,levels,LogisticRegression,1.0019483757849903,0.5935440276372526,0.6512094458476424,0.5223703703703704,0.9855509735463495,0.5871770135620533,0.6584343468782515,0.5225870155517156,0.9856139576864957,0.5868124566020718,0.6466970613100146,0.5354545454545454
multiclass,levels,DecisionTree,21.7436676445163,1.2065185185185183,0.5351663660709104,0.3967407407407407,2.220446049250313e-16,0.0,1.0,1.0,21.52789116059088,1.1945454545454546,0.5388419972492778,0.4027272727272727
multiclass,levels,RandomForest,0.9947145380470246,0.5926606428482598,0.6450192238218266,0.521037037037037,0.6127204557403694,0.32879167234753987,0.9881494252088333,0.8984201431745248,0.9914350183869117,0.5904332344837102,0.6369784288883367,0.5381818181818182
multiclass,levels,HistGradientBoosting,1.2012478801389903,0.6694309835668162,0.6280404771974379,0.49777777777777776,0.5161741080197111,0.26764352167640876,0.9865938167803253,0.9043446062700568,1.068707580878029,0.6316173472221273,0.6115051075998391,0.49272727272727274
